Designator,Mid X,Mid Y,Rotation,Layer
C17,256.475,-47.05,0.0,bottom
CH1,231.41,-109.22,270.0,top
CH1_AC1,231.41,-120.65,270.0,top
CH1_FILL1,231.41,-97.79,270.0,top
CH2,248.41,-109.22,270.0,top
CH2_AC1,248.41,-120.65,270.0,top
CH2_FILL1,248.41,-97.79,270.0,top
CH3,264.41,-109.22,270.0,top
CH3_AC1,264.41,-120.65,270.0,top
CH3_FILL1,264.41,-97.79,270.0,top
CLOCK1,231.41,-38.1,270.0,top
D1,223.646453,-88.519,0.0,top
D2,240.613653,-88.519,0.0,top
D3,256.361653,-88.4682,0.0,top
D4,240.760453,-38.1,0.0,top
D7,258.950453,-64.8,0.0,bottom
J11,234.95,-74.93,90.0,bottom
J14,261.62,-21.54,0.0,bottom
J15,199.39,-100.33,0.0,bottom
J3,212.297653,-103.5304,270.0,bottom
J4,241.802453,-114.8842,90.0,bottom
J8,223.143453,-114.935,270.0,bottom
MIDI_IN_RND_OUT1,214.41,-120.65,270.0,top
MIDI_OUT_CLOCK_OUT1,214.41,-109.22,270.0,top
P_CH1,227.946853,-58.4502,90.0,top
P_CH2,244.625453,-70.55,90.0,top
P_CH3,260.164906,-82.6948,90.0,top
P_RND1,210.41,-90.05,90.0,top
P_TEMPO1,244.79,-32.4,90.0,top
P_X1,210.41,-59.69,90.0,top
P_Y1,210.41,-33.02,90.0,top
R46,256.475,-50.25,0.0,bottom
R47,246.05,-53.325,0.0,bottom
R48,248.975,-75.525,90.0,bottom
R50,203.229853,-114.9604,180.0,bottom
RESET1,231.41,-25.4,270.0,top
RESET2,238.910453,-44.6,0.0,top
RND2,214.41,-97.79,270.0,top
U8,259.060453,-61.0,90.0,bottom
X1,214.41,-67.31,270.0,top
Y1,214.41,-40.64,270.0,top
